,date_as_date,Stringency_index_in_Israel
95369,2020-08-15,43.52
95370,2020-08-16,37.96
95371,2020-08-17,37.96
95372,2020-08-18,37.96
95373,2020-08-19,37.96
95374,2020-08-20,37.96
95375,2020-08-21,37.96
95376,2020-08-22,37.96
95377,2020-08-23,37.96
95378,2020-08-24,37.96
95379,2020-08-25,37.96
95380,2020-08-26,37.96
95381,2020-08-27,37.96
95382,2020-08-28,37.96
95383,2020-08-29,37.96
95384,2020-08-30,37.96
95385,2020-08-31,37.96
95386,2020-09-01,37.96
95387,2020-09-02,37.96
95388,2020-09-03,37.96
95389,2020-09-04,37.96
95390,2020-09-05,37.96
95391,2020-09-06,37.96
95392,2020-09-07,37.96
95393,2020-09-08,37.96
95394,2020-09-09,37.96
95395,2020-09-10,37.96
95396,2020-09-11,37.96
95397,2020-09-12,37.96
95398,2020-09-13,37.96
95399,2020-09-14,37.96
95400,2020-09-15,37.96
95401,2020-09-16,37.96
95402,2020-09-17,37.96
95403,2020-09-18,81.48
95404,2020-09-19,81.48
95405,2020-09-20,81.48
95406,2020-09-21,81.48
95407,2020-09-22,81.48
95408,2020-09-23,81.48
95409,2020-09-24,81.48
95410,2020-09-25,85.19
95411,2020-09-26,85.19
95412,2020-09-27,85.19
95413,2020-09-28,85.19
95414,2020-09-29,85.19
95415,2020-09-30,85.19
95416,2020-10-01,85.19
95417,2020-10-02,85.19
95418,2020-10-03,85.19
95419,2020-10-04,85.19
95420,2020-10-05,85.19
95421,2020-10-06,85.19
95422,2020-10-07,85.19
95423,2020-10-08,85.19
95424,2020-10-09,85.19
95425,2020-10-10,85.19
95426,2020-10-11,85.19
95427,2020-10-12,85.19
95428,2020-10-13,85.19
95429,2020-10-14,85.19
95430,2020-10-15,85.19
95431,2020-10-16,85.19
95432,2020-10-17,85.19
95433,2020-10-18,85.19
95434,2020-10-19,85.19
95435,2020-10-20,85.19
95436,2020-10-21,85.19
95437,2020-10-22,85.19
95438,2020-10-23,85.19
95439,2020-10-24,85.19
95440,2020-10-25,85.19
95441,2020-10-26,85.19
95442,2020-10-27,85.19
95443,2020-10-28,46.3
95444,2020-10-29,40.74
95445,2020-10-30,40.74
95446,2020-10-31,40.74
95447,2020-11-01,40.74
95448,2020-11-02,40.74
95449,2020-11-03,40.74
95450,2020-11-04,65.74
95451,2020-11-05,65.74
95452,2020-11-06,65.74
95453,2020-11-07,65.74
95454,2020-11-08,65.74
95455,2020-11-09,65.74
95456,2020-11-10,65.74
95457,2020-11-11,65.74
95458,2020-11-12,65.74
95459,2020-11-13,65.74
95460,2020-11-14,65.74
95461,2020-11-15,65.74
95462,2020-11-16,65.74
95463,2020-11-17,65.74
95464,2020-11-18,65.74
95465,2020-11-19,65.74
95466,2020-11-20,65.74
95467,2020-11-21,65.74
95468,2020-11-22,65.74
95469,2020-11-23,65.74
95470,2020-11-24,65.74
95471,2020-11-25,65.74
95472,2020-11-26,65.74
95473,2020-11-27,65.74
95474,2020-11-28,65.74
95475,2020-11-29,65.74
95476,2020-11-30,65.74
95477,2020-12-01,65.74
95478,2020-12-02,65.74
95479,2020-12-03,65.74
95480,2020-12-04,65.74
95481,2020-12-05,65.74
95482,2020-12-06,65.74
95483,2020-12-07,65.74
95484,2020-12-08,65.74
95485,2020-12-09,65.74
95486,2020-12-10,65.74
95487,2020-12-11,65.74
95488,2020-12-12,65.74
95489,2020-12-13,65.74
95490,2020-12-14,65.74
95491,2020-12-15,71.3
95492,2020-12-16,71.3
95493,2020-12-17,71.3
95494,2020-12-18,71.3
95495,2020-12-19,71.3
95496,2020-12-20,71.3
95497,2020-12-21,71.3
95498,2020-12-22,74.07
95499,2020-12-23,74.07
95500,2020-12-24,74.07
95501,2020-12-25,74.07
95502,2020-12-26,74.07
95503,2020-12-27,82.41
95504,2020-12-28,82.41
95505,2020-12-29,82.41
95506,2020-12-30,82.41
95507,2020-12-31,82.41
95508,2021-01-01,82.41
95509,2021-01-02,82.41
95510,2021-01-03,82.41
95511,2021-01-04,82.41
95512,2021-01-05,82.41
95513,2021-01-06,82.41
95514,2021-01-07,85.19
95515,2021-01-08,85.19
95516,2021-01-09,85.19
95517,2021-01-10,85.19
95518,2021-01-11,85.19
95519,2021-01-12,85.19
95520,2021-01-13,85.19
95521,2021-01-14,85.19
95522,2021-01-15,85.19
95523,2021-01-16,85.19
95524,2021-01-17,85.19
95525,2021-01-18,85.19
95526,2021-01-19,85.19
95527,2021-01-20,85.19
95528,2021-01-21,85.19
95529,2021-01-22,85.19
95530,2021-01-23,85.19
95531,2021-01-24,85.19
95532,2021-01-25,85.19
95533,2021-01-26,85.19
95534,2021-01-27,85.19
95535,2021-01-28,85.19
95536,2021-01-29,85.19
95537,2021-01-30,85.19
95538,2021-01-31,87.04
95539,2021-02-01,87.04
95540,2021-02-02,87.04
95541,2021-02-03,87.04
95542,2021-02-04,87.04
95543,2021-02-05,87.04
95544,2021-02-06,87.04
95545,2021-02-07,64.81
95546,2021-02-08,64.81
95547,2021-02-09,64.81
95548,2021-02-10,64.81
95549,2021-02-11,62.96
95550,2021-02-12,62.96
95551,2021-02-13,62.96
95552,2021-02-14,62.96
95553,2021-02-15,62.96
95554,2021-02-16,62.96
95555,2021-02-17,62.96
95556,2021-02-18,62.96
95557,2021-02-19,62.96
95558,2021-02-20,62.96
95559,2021-02-21,62.96
95560,2021-02-22,62.96
95561,2021-02-23,62.96
95562,2021-02-24,62.96
95563,2021-02-25,78.7
95564,2021-02-26,78.7
95565,2021-02-27,78.7
95566,2021-02-28,62.96
95567,2021-03-01,62.96
95568,2021-03-02,62.96
95569,2021-03-03,62.96
95570,2021-03-04,62.96
95571,2021-03-05,62.96
95572,2021-03-06,62.96
95573,2021-03-07,60.19
95574,2021-03-08,60.19
95575,2021-03-09,60.19
95576,2021-03-10,60.19
95577,2021-03-11,60.19
95578,2021-03-12,60.19
95579,2021-03-13,60.19
95580,2021-03-14,60.19
95581,2021-03-15,60.19
95582,2021-03-16,60.19
95583,2021-03-17,60.19
95584,2021-03-18,60.19
95585,2021-03-19,60.19
95586,2021-03-20,60.19
95587,2021-03-21,60.19
95588,2021-03-22,60.19
95589,2021-03-23,60.19
95590,2021-03-24,60.19
95591,2021-03-25,60.19
95592,2021-03-26,60.19
95593,2021-03-27,60.19
95594,2021-03-28,60.19
95595,2021-03-29,60.19
95596,2021-03-30,60.19
95597,2021-03-31,60.19
95598,2021-04-01,60.19
95599,2021-04-02,60.19
95600,2021-04-03,60.19
95601,2021-04-04,60.19
95602,2021-04-05,60.19
95603,2021-04-06,60.19
95604,2021-04-07,60.19
95605,2021-04-08,60.19
95606,2021-04-09,60.19
95607,2021-04-10,60.19
95608,2021-04-11,60.19
95609,2021-04-12,60.19
95610,2021-04-13,60.19
95611,2021-04-14,60.19
95612,2021-04-15,60.19
95613,2021-04-16,60.19
95614,2021-04-17,60.19
95615,2021-04-18,58.33
95616,2021-04-19,58.33
95617,2021-04-20,58.33
95618,2021-04-21,58.33
95619,2021-04-22,58.33
95620,2021-04-23,58.33
95621,2021-04-24,58.33
95622,2021-04-25,58.33
95623,2021-04-26,58.33
95624,2021-04-27,58.33
95625,2021-04-28,58.33
95626,2021-04-29,52.78
95627,2021-04-30,52.78
95628,2021-05-01,52.78
95629,2021-05-02,52.78
95630,2021-05-03,52.78
95631,2021-05-04,52.78
95632,2021-05-05,52.78
95633,2021-05-06,52.78
95634,2021-05-07,52.78
95635,2021-05-08,52.78
95636,2021-05-09,52.78
95637,2021-05-10,52.78
95638,2021-05-11,52.78
95639,2021-05-12,52.78
95640,2021-05-13,52.78
95641,2021-05-14,52.78
95642,2021-05-15,52.78
95643,2021-05-16,52.78
95644,2021-05-17,52.78
95645,2021-05-18,52.78
95646,2021-05-19,52.78
95647,2021-05-20,52.78
95648,2021-05-21,52.78
95649,2021-05-22,52.78
95650,2021-05-23,52.78
95651,2021-05-24,52.78
95652,2021-05-25,52.78
95653,2021-05-26,52.78
95654,2021-05-27,52.78
95655,2021-05-28,52.78
95656,2021-05-29,52.78
95657,2021-05-30,52.78
95658,2021-05-31,52.78
95659,2021-06-01,29.63
95660,2021-06-02,29.63
95661,2021-06-03,29.63
95662,2021-06-04,29.63
95663,2021-06-05,29.63
95664,2021-06-06,29.63
95665,2021-06-07,29.63
95666,2021-06-08,29.63
95667,2021-06-09,29.63
95668,2021-06-10,29.63
95669,2021-06-11,29.63
95670,2021-06-12,29.63
95671,2021-06-13,29.63
95672,2021-06-14,29.63
95673,2021-06-15,22.22
95674,2021-06-16,22.22
95675,2021-06-17,22.22
95676,2021-06-18,22.22
95677,2021-06-19,22.22
95678,2021-06-20,24.07
95679,2021-06-21,24.07
95680,2021-06-22,24.07
95681,2021-06-23,24.07
95682,2021-06-24,24.07
95683,2021-06-25,29.63
95684,2021-06-26,29.63
95685,2021-06-27,29.63
95686,2021-06-28,29.63
95687,2021-06-29,29.63
95688,2021-06-30,29.63
95689,2021-07-01,29.63
95690,2021-07-02,29.63
95691,2021-07-03,29.63
95692,2021-07-04,29.63
95693,2021-07-05,29.63
95694,2021-07-06,29.63
95695,2021-07-07,29.63
95696,2021-07-08,29.63
95697,2021-07-09,29.63
95698,2021-07-10,29.63
95699,2021-07-11,29.63
95700,2021-07-12,29.63
95701,2021-07-13,29.63
95702,2021-07-14,29.63
95703,2021-07-15,29.63
95704,2021-07-16,29.63
95705,2021-07-17,29.63
95706,2021-07-18,29.63
95707,2021-07-19,29.63
95708,2021-07-20,35.19
95709,2021-07-21,35.19
95710,2021-07-22,35.19
95711,2021-07-23,35.19
95712,2021-07-24,35.19
95713,2021-07-25,35.19
95714,2021-07-26,35.19
95715,2021-07-27,35.19
95716,2021-07-28,35.19
95717,2021-07-29,35.19
95718,2021-07-30,35.19
95719,2021-07-31,35.19
95720,2021-08-01,35.19
95721,2021-08-02,35.19
95722,2021-08-03,35.19
95723,2021-08-04,35.19
95724,2021-08-05,35.19
95725,2021-08-06,35.19
95726,2021-08-07,35.19
95727,2021-08-08,52.78
95728,2021-08-09,52.78
95729,2021-08-10,52.78
95730,2021-08-11,52.78
95731,2021-08-12,52.78
95732,2021-08-13,52.78
95733,2021-08-14,52.78
95734,2021-08-15,52.78
95735,2021-08-16,52.78
95736,2021-08-17,52.78
95737,2021-08-18,56.48
95738,2021-08-19,56.48
95739,2021-08-20,56.48
95740,2021-08-21,56.48
95741,2021-08-22,56.48
95742,2021-08-23,56.48
95743,2021-08-24,
95744,2021-08-25,
95745,2021-08-26,
95746,2021-08-27,
95747,2021-08-28,
