,R,date_as_date,Stringency_index_in_Israel,total_intubated,number_kashim,daily_deaths,number_kashim_smooth,total_intubated_smooth,daily_deaths_smooth,delta_deaths_raw1,delta_deaths_from_smoothed_1day,delta_deaths_from_smoothed_1week
60,0.54,2020-04-30,84.26,90,112,6.0,116.28571428571429,92.85714285714286,4.428571428571429,0.0,0.14285714285714324,0.14285714285714324
61,0.58,2020-05-01,84.26,89,109,4.0,111.28571428571429,89.57142857142857,4.285714285714286,-2.0,-0.14285714285714324,0.2857142857142856
62,0.61,2020-05-02,84.26,90,111,3.0,106.14285714285714,85.57142857142857,3.857142857142857,-1.0,-0.4285714285714284,0.4285714285714288
63,0.63,2020-05-03,80.56,84,101,3.0,101.28571428571429,81.85714285714286,3.142857142857143,0.0,-0.7142857142857144,-0.7142857142857144
64,0.6,2020-05-04,80.56,78,97,3.0,97.28571428571429,79.0,2.4285714285714284,0.0,-0.7142857142857144,-1.7142857142857149
65,0.58,2020-05-05,77.78,72,91,2.0,92.85714285714286,75.42857142857143,2.7142857142857144,-1.0,0.28571428571428603,-1.5714285714285712
66,0.56,2020-05-06,77.78,70,88,1.0,88.14285714285714,71.71428571428571,2.7142857142857144,-1.0,0.0,-1.5714285714285712
67,0.57,2020-05-07,77.78,70,84,1.0,84.28571428571429,69.14285714285714,2.857142857142857,0.0,0.1428571428571428,-1.5714285714285716
68,0.62,2020-05-08,77.78,64,78,6.0,80.28571428571429,66.57142857142857,3.142857142857143,5.0,0.2857142857142856,-1.1428571428571428
69,0.68,2020-05-09,77.78,64,78,3.0,76.57142857142857,64.28571428571429,3.2857142857142856,-3.0,0.1428571428571428,-0.5714285714285716
70,0.64,2020-05-10,77.78,66,74,4.0,72.71428571428571,61.857142857142854,3.5714285714285716,1.0,0.28571428571428603,0.4285714285714288
71,0.68,2020-05-11,77.78,60,69,5.0,69.42857142857143,59.285714285714285,3.7142857142857144,1.0,0.1428571428571428,1.285714285714286
72,0.77,2020-05-12,77.78,56,65,3.0,67.0,57.57142857142857,2.857142857142857,-2.0,-0.8571428571428572,0.1428571428571428
73,0.78,2020-05-13,77.78,53,61,3.0,64.42857142857143,55.714285714285715,2.857142857142857,0.0,0.0,0.1428571428571428
74,0.81,2020-05-14,77.78,52,61,2.0,61.714285714285715,52.714285714285715,2.857142857142857,-1.0,0.0,0.0
75,0.83,2020-05-15,77.78,52,61,0.0,59.285714285714285,50.285714285714285,2.5714285714285716,-2.0,-0.2857142857142856,-0.5714285714285712
76,1.1,2020-05-16,77.78,51,60,3.0,57.285714285714285,48.0,2.4285714285714284,3.0,-0.14285714285714324,-0.8571428571428572
77,1.26,2020-05-17,77.78,45,55,4.0,55.142857142857146,46.285714285714285,2.142857142857143,1.0,-0.2857142857142856,-1.4285714285714288
78,1.54,2020-05-18,77.78,43,52,3.0,53.142857142857146,44.142857142857146,1.8571428571428572,-1.0,-0.2857142857142856,-1.8571428571428572
79,1.84,2020-05-19,77.78,40,51,2.0,51.0,42.0,1.8571428571428572,-1.0,0.0,-1.0
80,1.89,2020-05-20,75.0,41,46,1.0,49.0,40.0,1.4285714285714286,-1.0,-0.4285714285714286,-1.4285714285714286
81,2.02,2020-05-21,75.0,37,47,0.0,47.285714285714285,38.42857142857143,1.0,-1.0,-0.4285714285714286,-1.8571428571428572
82,2.08,2020-05-22,75.0,37,46,0.0,45.714285714285715,36.42857142857143,0.8571428571428571,0.0,-0.1428571428571429,-1.7142857142857144
83,1.93,2020-05-23,75.0,37,46,0.0,43.57142857142857,35.285714285714285,0.5714285714285714,0.0,-0.2857142857142857,-1.857142857142857
84,1.86,2020-05-24,75.0,34,43,1.0,42.714285714285715,34.57142857142857,0.7142857142857143,1.0,0.1428571428571429,-1.4285714285714284
85,1.7,2020-05-25,75.0,29,41,2.0,41.142857142857146,34.142857142857146,0.8571428571428571,1.0,0.1428571428571428,-1.0
86,1.46,2020-05-26,75.0,32,36,0.0,40.142857142857146,34.142857142857146,0.8571428571428571,-2.0,0.0,-1.0
87,1.48,2020-05-27,75.0,36,40,2.0,38.57142857142857,33.57142857142857,0.8571428571428571,2.0,0.0,-0.5714285714285715
88,1.43,2020-05-28,75.0,34,36,1.0,37.42857142857143,33.142857142857146,0.7142857142857143,-1.0,-0.1428571428571428,-0.2857142857142857
89,1.42,2020-05-29,75.0,37,39,0.0,36.142857142857146,33.142857142857146,0.8571428571428571,-1.0,0.1428571428571428,0.0
90,1.36,2020-05-30,75.0,33,35,0.0,35.142857142857146,32.714285714285715,1.1428571428571428,0.0,0.2857142857142857,0.5714285714285714
91,1.44,2020-05-31,75.0,31,35,0.0,33.42857142857143,31.142857142857142,1.0,0.0,-0.1428571428571428,0.2857142857142857
92,1.38,2020-06-01,75.0,29,32,3.0,32.57142857142857,29.571428571428573,0.8571428571428571,3.0,-0.1428571428571429,0.0
93,1.34,2020-06-02,75.0,29,29,2.0,31.142857142857142,27.571428571428573,1.0,-1.0,0.1428571428571429,0.1428571428571429
94,1.36,2020-06-03,75.0,25,28,1.0,30.285714285714285,25.857142857142858,1.5714285714285714,-1.0,0.5714285714285714,0.7142857142857143
95,1.28,2020-06-04,75.0,23,30,0.0,29.428571428571427,24.714285714285715,1.8571428571428572,-1.0,0.2857142857142858,1.1428571428571428
96,1.22,2020-06-05,75.0,23,29,1.0,29.142857142857142,23.857142857142858,1.4285714285714286,1.0,-0.4285714285714286,0.5714285714285715
97,1.26,2020-06-06,75.0,21,29,4.0,29.428571428571427,23.142857142857142,1.2857142857142858,3.0,-0.1428571428571428,0.14285714285714302
98,1.2,2020-06-07,75.0,23,29,2.0,30.0,23.0,1.2857142857142858,-2.0,0.0,0.2857142857142858
99,1.23,2020-06-08,75.0,23,30,0.0,30.714285714285715,23.142857142857142,1.2857142857142858,-2.0,0.0,0.4285714285714287
100,1.26,2020-06-09,75.0,24,31,1.0,31.571428571428573,23.428571428571427,1.1428571428571428,1.0,-0.14285714285714302,0.1428571428571428
101,1.23,2020-06-10,75.0,24,32,1.0,32.42857142857143,24.142857142857142,0.7142857142857143,0.0,-0.4285714285714285,-0.8571428571428571
102,1.22,2020-06-11,75.0,24,35,0.0,32.714285714285715,24.142857142857142,0.7142857142857143,-1.0,0.0,-1.1428571428571428
103,1.26,2020-06-12,75.0,25,35,0.0,33.57142857142857,24.428571428571427,0.7142857142857143,0.0,0.0,-0.7142857142857143
104,1.27,2020-06-13,75.0,26,35,1.0,34.57142857142857,24.714285714285715,0.7142857142857143,1.0,0.0,-0.5714285714285715
105,1.32,2020-06-14,75.0,23,31,2.0,35.142857142857146,25.428571428571427,0.5714285714285714,1.0,-0.1428571428571429,-0.7142857142857144
106,1.34,2020-06-15,75.0,25,36,0.0,35.857142857142854,26.0,0.5714285714285714,-2.0,0.0,-0.7142857142857144
107,1.33,2020-06-16,75.0,26,38,1.0,36.42857142857143,26.571428571428573,0.7142857142857143,1.0,0.1428571428571429,-0.4285714285714285
108,1.38,2020-06-17,75.0,29,36,0.0,37.285714285714285,26.857142857142858,0.7142857142857143,-1.0,0.0,0.0
109,1.41,2020-06-18,75.0,28,40,0.0,39.285714285714285,27.714285714285715,0.42857142857142855,0.0,-0.28571428571428575,-0.28571428571428575
110,1.46,2020-06-19,75.0,29,39,1.0,40.285714285714285,28.285714285714285,0.5714285714285714,1.0,0.14285714285714285,-0.1428571428571429
111,1.44,2020-06-20,75.0,28,41,1.0,40.57142857142857,28.285714285714285,0.7142857142857143,0.0,0.1428571428571429,0.0
112,1.46,2020-06-21,75.0,29,45,0.0,41.857142857142854,28.0,1.1428571428571428,-1.0,0.4285714285714285,0.5714285714285714
113,1.49,2020-06-22,75.0,29,43,1.0,42.42857142857143,28.0,1.7142857142857142,1.0,0.5714285714285714,1.1428571428571428
